State,Type,Tenure,Median_Price,Median_PSF,Transactions
Selangor,"Terrace House, Semi D, Bungalow",Freehold,960000.0,410.0,19.0
Melaka,"Bungalow, Terrace House",Freehold,443800.0,317.0,19.0
Sabah,"Terrace House, Semi D",Leasehold,400000.0,220.0,19.0
Melaka,"Terrace House, Semi D, Town House",Freehold,315000.0,194.0,19.0
Kuala Lumpur,"Flat, Condominium",Leasehold,350000.0,301.0,19.0
Selangor,"Town House, Bungalow, Terrace House",Leasehold,2550000.0,580.0,18.0
Putrajaya,"Bungalow, Terrace House",Freehold,1260000.0,569.0,18.0
Putrajaya,"Semi D, Terrace House",Freehold,880000.0,465.0,18.0
Sarawak,"Apartment, Flat",Leasehold,170000.0,259.0,18.0
Negeri Sembilan,"Town House, Terrace House",Leasehold,150000.0,153.0,17.0
Terengganu,Terrace House,Leasehold,213000.0,113.0,17.0
Selangor,"Semi D, Bungalow, Terrace House",Freehold,1600000.0,569.0,17.0
Melaka,"Bungalow, Semi D",Leasehold,707000.0,136.0,17.0
Johor,Apartment,"Freehold, Leasehold",410000.0,328.0,17.0
Melaka,Flat,Leasehold,78000.0,138.0,17.0
Melaka,"Terrace House, Cluster House",Freehold,337834.0,129.0,16.0
Pahang,"Bungalow, Semi D",Leasehold,152660.0,51.0,16.0
Selangor,"Terrace House, Cluster House",Leasehold,522500.0,288.0,16.0
Sabah,"Town House, Semi D, Terrace House",Leasehold,1040000.0,537.0,16.0
Selangor,"Town House, Bungalow","Leasehold, Freehold",499500.0,346.0,16.0
Melaka,"Terrace House, Semi D",Leasehold,280000.0,172.0,16.0
Johor,Cluster House,Leasehold,959000.0,420.0,16.0
Negeri Sembilan,"Condominium, Service Residence",Freehold,84000.0,111.0,16.0
Johor,Cluster House,"Leasehold, Freehold",1050000.0,415.0,15.0
Kelantan,Terrace House,Leasehold,470000.0,361.0,15.0
Johor,"Cluster House, Terrace House",Leasehold,498000.0,239.0,15.0
Perak,Terrace House,"Leasehold, Freehold",476888.0,255.0,15.0
Negeri Sembilan,"Terrace House, Bungalow",Freehold,199000.0,127.0,15.0
Negeri Sembilan,Condominium,Leasehold,160000.0,219.0,15.0
Selangor,"Terrace House, Cluster House","Freehold, Leasehold",416000.0,301.0,14.0
Kedah,Bungalow,Freehold,548000.0,98.0,14.0
Perak,"Cluster House, Bungalow",Freehold,240000.0,117.0,14.0
Kedah,Terrace House,Leasehold,145000.0,101.0,14.0
Sabah,Semi D,Leasehold,500000.0,238.0,14.0
Perak,"Cluster House, Terrace House, Semi D",Leasehold,364000.0,153.0,14.0
Perak,Condominium,Leasehold,315000.0,259.0,14.0
Johor,"Flat, Apartment",Leasehold,320000.0,350.0,14.0
Kedah,Apartment,Freehold,165000.0,241.0,14.0
Kuala Lumpur,"Cluster House, Terrace House",Leasehold,300000.0,472.0,13.0
Selangor,Town House,Leasehold,310000.0,250.0,13.0
Kuala Lumpur,Town House,Leasehold,510000.0,431.0,13.0
Penang,"Cluster House, Terrace House",Leasehold,350000.0,278.0,13.0
Terengganu,Semi D,Freehold,350000.0,98.0,13.0
Kuala Lumpur,"Semi D, Terrace House",Freehold,1270000.0,624.0,13.0
Kelantan,"Terrace House, Bungalow",Freehold,325000.0,61.0,13.0
Melaka,Service Residence,Leasehold,330000.0,457.0,13.0
Pahang,"Semi D, Terrace House",Freehold,397900.0,139.0,12.0
Perak,"Semi D, Bungalow",Leasehold,328800.0,145.0,12.0
Penang,"Semi D, Town House, Terrace House",Freehold,526500.0,321.0,12.0
Perak,"Terrace House, Town House",Leasehold,434500.0,263.0,12.0
Pahang,"Semi D, Bungalow",Leasehold,260000.0,65.0,12.0
Johor,"Bungalow, Semi D, Terrace House",Freehold,744000.0,257.0,12.0
Kuala Lumpur,"Bungalow, Semi D",Leasehold,675000.0,207.0,12.0
Melaka,"Terrace House, Town House",Freehold,413000.0,244.0,12.0
Johor,"Bungalow, Terrace House, Semi D",Freehold,360000.0,153.0,12.0
Sarawak,"Semi D, Terrace House","Freehold, Leasehold",509444.0,250.0,12.0
Selangor,"Terrace House, Bungalow, Semi D",Leasehold,2161500.0,590.0,12.0
Melaka,"Bungalow, Semi D",Freehold,392500.0,219.0,12.0
